text,label
text,1
"everything i ever prayed for is in this picture 🤗 heavenbahati 🥰🥰
  ",0
"  ooh lawd  no chills😂😂😂
    ",0
"ooh lawd  no chills😂😂😂
    ",0
i would rather befriend than watch this  shit,0
he looks confused hajazoea hizi vitu   ,0
i dont even know why the renewed this bull crapit was better off on a break ,0
who sponsors this semi baked  nonesense you now push  to sunday to pave ways for this crap,0
diana yunibamba 😂😂 even in dubai 😂 ,0
  when  started i was so eager watching few of the episode when was focusing on how he grew up in hurum…,0
  when  started i was so eager watching few of the episode when was focusing on how he grew up in hurum…,0
  when  started i was so eager watching few of the episode when was focusing on how he grew up in hurum…,0
when  staed i was so eager watching few of the episode when was focusing on how he grew… ,0
 kwani what is wrong with you you serious journos who can do infornative pieces but you seem to be on a… ,1
  a big thank you to all of you who have supported us since  and now  ,1
  after a successful season of   tomorrow from 730pm a whole new season of  will be on air o…,1
  a big thank you to all of you who have supported us since  and now  ,1
  after a successful season of   tomorrow from 730pm a whole new season of  will be on air o…,1
  stop it hii  hatutaki anyway and ,1
thank goodness i have africa magic id rather watch nigerian witchcraft than  ,0
stop it hii  hatutaki anyway and ,1
dont be like the rest of them darling 💖  ,0
